a elephant and a rabbit::::{'elephant-0': [20, 20, 120, 200], 'rabbit-0': [136, 40, 196, 120]}
a dog and a frog::::{'dog-0': [25, 25, 135, 200], 'frog-0': [150, 50, 225, 150]}
a bird and a mouse::::{'bird-0': [50, 50, 150, 150], 'mouse-0': [180, 50, 230, 100]}
a monkey and a frog::::{'monkey-0': [50, 50, 150, 200], 'frog-0': [170, 50, 250, 200]}
a horse and a monkey::::{'horse': [20, 20, 120, 200], 'monkey': [136, 40, 236, 220]}
a bird and a turtle::::{'bird-0': [50, 50, 150, 150], 'turtle-0': [180, 50, 230, 150]}
a bird and a lion::::{'bird-0': [30, 30, 100, 150], 'lion-0': [120, 50, 220, 200]}
a lion and a monkey::::{'lion': [50, 70, 180, 200], 'monkey': [90, 80, 220, 160]}
a horse and a turtle::::{'horse-0': [20, 20, 120, 180], 'turtle-0': [140, 60, 200, 160]}
a bird and a monkey::::{'bird-0': [20, 20, 80, 120], 'monkey-0': [150, 50, 220, 180]}
a bear and a frog::::{'bear': [20, 20, 100, 150], 'frog': [130, 50, 200, 120]}
a bear and a turtle::::{'bear': (100, 100, 156, 156),'turtle': (200, 200, 256, 256)}
a dog and a elephant::::{'dog-0': [50, 50, 150, 150], 'elephant-0': [100, 100, 200, 200]}
a dog and a horse::::{'dog': [20, 20, 100, 150], 'horse': [120, 20, 220, 150]}
a turtle and a mouse::::{'turtle': (100, 100, 156, 156),'mouse': (200, 200, 236, 236)}
a cat and a turtle::::{'cat-0': [25, 30, 103, 208], 'turtle-0': [120, 140, 241, 250]}
a dog and a mouse::::{'dog': [30, 30, 120, 200], 'mouse': [140, 50, 200, 120]}
a cat and a elephant::::{'cat-0': [50, 50, 150, 150], 'elephant-0': [100, 100, 200, 200]}
a cat and a bird::::{'cat-0': [50, 50, 150, 150], 'bird-0': [180, 50, 230, 100]}
a dog and a monkey::::{'dog-0': [25, 30, 103, 208], 'monkey-0': [120, 140, 241, 250]}
a lion and a mouse::::{'lion-0': [50, 50, 150, 200], 'mouse-0': [170, 70, 220, 120]}
a bear and a lion::::{'bear': [20, 20, 100, 150], 'lion': [120, 50, 220, 180]}
