a horse with a glasses::::{'horse': [50, 50, 200, 200], 'glasses': [180, 10, 230, 60]}
a bear with a glasses::::{ 'bear': (80, 80, 176, 176),'glasses': (110, 120, 150, 160)}
a monkey and a red car::::{'monkey-0': [10, 50, 100, 150], 'red car-0': [150, 100, 255, 200]}
a elephant with a bow::::{'elephant': [50, 50, 200, 200], 'bow': [150, 100, 250, 150]}
a frog and a purple balloon::::{'frog-0': [30, 30, 120, 150], 'purple balloon-0': [140, 60, 200, 150]}
a mouse with a bow::::{'mouse': (100, 100, 156, 156),'bow': (130, 90, 150, 100)}
a bird with a crown::::{'bird': (100, 100, 156, 156),'crown': (120, 80, 160, 120)}
a turtle and a yellow bowl::::{'turtle-0': [30, 30, 120, 150], 'yellow bowl-0': [140, 30, 220, 120]}
a rabbit and a gray chair::::{'rabbit-0': [20, 20, 100, 150], 'gray chair-0': [120, 30, 220, 180]}
a dog and a black apple::::{'dog-0': [20, 20, 100, 180], 'black apple-0': [120, 30, 160, 70]}
a rabbit and a white bench::::{'rabbit-0': [50, 100, 150, 180], 'white bench-0': [80, 200, 220, 250]}
a lion and a yellow clock::::{'lion-0': [50, 50, 150, 200], 'yellow clock-0': [160, 50, 230, 120]}
a turtle and a gray backpack::::{'turtle-0': [50, 50, 120, 150], 'gray backpack-0': [140, 70, 220, 180]}
a elephant and a green balloon::::{'elephant': [20, 20, 120, 200], 'green balloon': [140, 50, 190, 110]}
a monkey and a orange apple::::{'monkey-0': [30, 30, 150, 200], 'orange apple-0': [170, 50, 230, 120]}
a lion and a red car::::{'lion': [50, 50, 200, 200], 'red car': [50, 200, 200, 350]}
a lion with a crown::::{'lion': (80, 80, 176, 176),'crown': (110, 50, 150, 90)}
a bird and a purple bench::::{'bird-0': [20, 20, 80, 80], 'purple bench-0': [120, 100, 236, 150]}
a rabbit and a orange backpack::::{'rabbit': [50, 50, 100, 150], 'orange backpack': [150, 60, 240, 200]}
a rabbit and a orange apple::::{'rabbit-0': [30, 30, 100, 150], 'orange apple-0': [150, 100, 200, 200]}
a monkey and a green bowl::::{'monkey-0': [20, 20, 120, 200], 'green bowl-0': [140, 50, 220, 130]}
a frog and a red suitcase::::{'frog-0': [50, 50, 150, 150], 'red suitcase-0': [160, 160, 240, 240]}
a monkey and a green balloon::::{'monkey-0': [50, 50, 150, 200], 'green balloon-0': [180, 50, 230, 150]}
a cat with a glasses::::{'cat': (100, 100, 156, 156),'glasses': (130, 120, 150, 140)}
