a pink crown and a purple bow::::{'pink crown-0': [25, 25, 100, 100], 'purple bow-0': [150, 150, 225, 225]}
a blue clock and a blue apple::::{'blue clock-0': [25, 30, 103, 208], 'blue apple-0': [120, 140, 200, 220]}
a blue balloon and a orange bench::::{'blue balloon-0': [50, 50, 100, 150], 'orange bench-0': [120, 100, 220, 150]}
a pink crown and a red chair::::{'pink crown-0': [25, 25, 100, 100], 'red chair-0': [150, 150, 220, 220]}
a orange chair and a blue clock::::{'orange chair-0': [30, 30, 120, 150], 'blue clock-0': [140, 60, 200, 150]}
a purple bowl and a black bench::::{'purple bowl-0': [30, 30, 100, 100], 'black bench-0': [120, 150, 220, 200]}
a green glasses and a black crown::::{'green glasses-0': [20, 20, 100, 80], 'black crown-0': [150, 150, 230, 230]}
a purple chair and a red bow::::{'purple chair-0': [20, 20, 120, 150], 'red bow-0': [130, 90, 190, 160]}
a yellow glasses and a black car::::{'yellow glasses-0': [30, 30, 80, 80], 'black car-0': [100, 100, 200, 150]}
a orange backpack and a purple car::::{'orange backpack-0': [50, 50, 150, 150], 'purple car-0': [170, 170, 230, 230]}
a white balloon and a white apple::::{'white balloon-0': [55, 80, 95, 120], 'white apple-0': [160, 160, 190, 190]}
a brown suitcase and a black clock::::{'brown suitcase-0': [30, 30, 120, 180], 'black clock-0': [140, 40, 220, 150]}
a yellow backpack and a purple chair::::{'yellow backpack': [50, 100, 120, 150], 'purple chair': [180, 100, 210, 150]}
a gray backpack and a green clock::::{'gray backpack': [50, 40, 150, 140], 'green clock': [160, 45, 230, 115]}
a blue crown and a red balloon::::{'blue crown': [45, 100, 145, 150], 'red balloon': [145, 155, 185, 205]}
a gray suitcase and a black bowl::::{'gray suitcase-0': [25, 25, 125, 175], 'black bowl-0': [150, 50, 220, 120]}
a brown balloon and a pink car::::{'brown balloon-0': [50, 50, 100, 150], 'pink car-0': [150, 100, 220, 180]}
a black backpack and a green bow::::{'black backpack': [20, 20, 100, 150], 'green bow': [120, 50, 180, 100]}
a blue balloon and a blue bow::::{'blue balloon-0': [30, 30, 100, 150], 'blue bow-0': [130, 30, 200, 150]}
a white bow and a white car::::{'white bow': [52, 24, 147, 158], 'white car': [161, 25, 241, 140]}
a orange bowl and a purple apple::::{'orange bowl': [35, 120, 143, 220], 'purple apple': [170, 200, 256, 256]}
a brown chair and a white bench::::{'brown chair': [64, 64, 192, 192], 'white bench': [64, 192, 192, 320]}
a purple crown and a blue suitcase::::{'purple crown-0': [20, 20, 100, 100], 'blue suitcase-0': [120, 120, 220, 220]}
a yellow bow and a orange bench::::{'yellow bow': [15, 15, 90, 130], 'orange bench': [100, 100, 200, 200]}
a yellow glasses and a brown bow::::{'yellow glasses-0': [126, 127, 183, 222], 'brown bow-0': [33, 133, 77, 177]}
a red glasses and a red suitcase::::{'red glasses-0': [30, 30, 100, 100], 'red suitcase-0': [130, 130, 220, 220]}
a pink bow and a gray apple::::{'pink bow-0': [30, 30, 80, 80], 'gray apple-0': [150, 150, 200, 200]}
